batch_id,production_date,product_code,shift,operator_id,inspection_id,inspection_date,inspector_id,quality_score,defect_type,defect_severity,defect_count,rework_required,comments,factory_location,defects_per_batch,inspection_month
A1234-20240601,2024-06-01,PRD-02,afternoon,OP-5691,INSP-0001,2024-06-01T15:22:17,INS-2231,99.7,,,0,False,No issues detected. Batch meets all quality benchmarks.,Factory-E1,0.0,2024-06
B0876-20240602,2024-06-02,PRD-03,morning,OP-1674,INSP-0002,2024-06-02T09:18:43,INS-9052,87.4,,,0,False,Perfect batch. No defects observed.,Factory-Y7,0.0,2024-06
C4218-20240603,2024-06-03,PRD-01,night,OP-2517,INSP-0003,2024-06-04T00:43:11,INS-0342,81.1,scratch,1.0,1,False,Minor scratch detected but within tolerance.,Factory-Z3,1.0,2024-06
D3127-20240603,2024-06-03,PRD-04,afternoon,OP-0033,INSP-0004,2024-06-03T16:08:29,INS-5961,94.3,,,0,False,Batch exceeded benchmarks.,Factory-X0,0.0,2024-06
E2098-20240604,2024-06-04,PRD-02,morning,OP-5691,INSP-0005,2024-06-04T08:42:14,INS-9052,77.8,marking,2.0,2,False,Spot marking observed. No rework required.,Factory-G9,2.0,2024-06
F5921-20240605,2024-06-05,PRD-03,afternoon,OP-7777,INSP-0006,2024-06-05T15:17:05,INS-2178,61.4,misalignment,3.0,7,True,Batch failed due to misalignment. Requires full rework.,Factory-A2,7.0,2024-06
G7423-20240606,2024-06-06,PRD-02,night,OP-0033,INSP-0007,2024-06-07T01:02:39,INS-0342,59.2,contamination,3.0,5,True,Contamination detected. Rework required.,Factory-X0,5.0,2024-06
H9305-20240607,2024-06-07,PRD-04,morning,OP-4178,INSP-0008,2024-06-07T10:40:15,INS-2231,69.8,mislabel,2.0,3,True,"Mislabel found, batch flagged for rework.",Factory-Y7,3.0,2024-06
J4207-20240608,2024-06-08,PRD-01,afternoon,OP-2517,INSP-0009,2024-06-08T14:55:21,INS-9052,100.0,,,0,False,No defects. Outstanding product.,Factory-A2,0.0,2024-06
K5182-20240609,2024-06-09,PRD-02,night,OP-2517,INSP-0010,2024-06-10T00:31:46,INS-0342,3.2,major_crack,4.0,17,True,Complete failure. Batch must be discarded.,Factory-E1,17.0,2024-06
L1096-20240610,2024-06-10,PRD-03,afternoon,OP-0033,INSP-0011,2024-06-10T16:11:34,INS-2178,93.8,,,0,False,Outstanding batch. No deviations.,Factory-G9,0.0,2024-06
M8315-20240611,2024-06-11,PRD-04,morning,OP-5691,INSP-0012,2024-06-11T11:23:47,INS-2231,85.0,,,0,False,Batch passed all tests.,Factory-Y7,0.0,2024-06
N5012-20240612,2024-06-12,PRD-01,afternoon,OP-2186,INSP-0013,2024-06-12T15:03:58,INS-9052,76.4,dent,2.0,1,False,"Minor dent observed, no impact on function.",Factory-G9,1.0,2024-06
O1238-20240613,2024-06-13,PRD-02,night,OP-2517,INSP-0014,2024-06-14T02:12:38,INS-0342,41.9,cracking,4.0,15,True,"Cracking detected, batch failed.",Factory-Z3,15.0,2024-06
P8762-20240614,2024-06-14,PRD-03,morning,OP-0112,INSP-0015,2024-06-14T09:36:51,INS-5961,98.2,,,0,False,No issues detected.,Factory-X0,0.0,2024-06
Q2110-20240615,2024-06-15,PRD-01,afternoon,OP-3452,INSP-0016,2024-06-15T16:21:07,INS-9052,72.0,discoloration,1.0,1,False,Minor discoloration. Within acceptable limits.,Factory-G9,1.0,2024-06
R5203-20240616,2024-06-16,PRD-02,night,OP-2186,INSP-0017,2024-06-17T01:19:53,INS-0342,69.5,contamination,3.0,8,True,Contamination. Full rework required.,Factory-A2,8.0,2024-06
S1542-20240617,2024-06-17,PRD-04,afternoon,OP-0033,INSP-0018,2024-06-17T15:46:39,INS-2178,100.0,,,0,False,No defects found. Exceptional quality.,Factory-G9,0.0,2024-06
T7612-20240618,2024-06-18,PRD-03,morning,OP-4178,INSP-0019,2024-06-18T10:15:04,INS-5961,99.9,,,0,False,Batch meets highest standards.,Factory-Y7,0.0,2024-06
U6045-20240619,2024-06-19,PRD-01,afternoon,OP-0001,INSP-0020,2024-06-19T15:02:12,INS-2231,82.3,scratch,1.0,2,False,"Light scratch detected, no action needed.",Factory-E1,2.0,2024-06
V2354-20240620,2024-06-20,PRD-02,night,OP-2186,INSP-0021,2024-06-21T03:00:59,INS-0342,49.7,misalignment,4.0,6,True,Severe misalignment. Batch failed.,Factory-X0,6.0,2024-06
W3819-20240621,2024-06-21,PRD-03,afternoon,OP-5691,INSP-0022,2024-06-21T14:44:28,INS-2178,100.0,,,0,False,"Outstanding batch, no defects.",Factory-A2,0.0,2024-06
X6210-20240622,2024-06-22,PRD-01,morning,OP-2517,INSP-0023,2024-06-22T09:59:01,INS-9052,79.8,marking,2.0,1,False,"Marking noted, within tolerance.",Factory-Z3,1.0,2024-06
Y9027-20240623,2024-06-23,PRD-02,afternoon,OP-0033,INSP-0024,2024-06-23T14:33:56,INS-2178,85.7,,,0,False,Batch passed inspection.,Factory-G9,0.0,2024-06
Z4172-20240624,2024-06-24,PRD-03,night,OP-0112,INSP-0025,2024-06-25T01:17:31,INS-9052,63.8,contamination,3.0,4,True,Batch flagged for rework due to contamination.,Factory-Y7,4.0,2024-06
A8015-20240625,2024-06-25,PRD-04,morning,OP-5691,INSP-0026,2024-06-25T11:04:24,INS-2231,89.5,,,0,False,Batch meets all required specs.,Factory-X0,0.0,2024-06
B4002-20240626,2024-06-26,PRD-01,afternoon,OP-2186,INSP-0027,2024-06-26T15:57:09,INS-9052,75.3,dent,1.0,1,False,"Minor dent found, no further action.",Factory-E1,1.0,2024-06
C0281-20240627,2024-06-27,PRD-02,night,OP-3452,INSP-0028,2024-06-28T00:27:17,INS-0342,57.9,cracking,3.0,9,True,Cracking detected. Full rework necessary.,Factory-A2,9.0,2024-06
D7723-20240628,2024-06-28,PRD-03,morning,OP-4178,INSP-0029,2024-06-28T10:27:13,INS-5961,100.0,,,0,False,Batch received perfect rating.,Factory-Z3,0.0,2024-06
E5631-20240629,2024-06-29,PRD-04,afternoon,OP-0033,INSP-0030,2024-06-29T16:36:21,INS-2178,88.5,,,0,False,No issues detected.,Factory-Y7,0.0,2024-06
F3812-20240630,2024-06-30,PRD-01,night,OP-2517,INSP-0031,2024-07-01T02:37:55,INS-0342,0.0,major_crack,4.0,19,True,Complete failure. Batch rejected.,Factory-G9,19.0,2024-07
G9028-20240520,2024-05-20,PRD-02,morning,OP-2186,INSP-0032,2024-05-20T09:07:01,INS-9052,97.6,,,0,False,No defects found.,Factory-E1,0.0,2024-05
H7213-20240521,2024-05-21,PRD-03,afternoon,OP-0033,INSP-0033,2024-05-21T16:12:05,INS-2178,84.1,,,0,False,Batch meets all requirements.,Factory-X0,0.0,2024-05
